round,reference,well,expected_mut,arm,verdict
FX,amplicon,A1,mut_A1,A,PASS
FX,amplicon,A2,mut_A2,A,PASS
FX,amplicon,A3,mut_A3,A,PASS
FX,amplicon,A4,mut_A4,A,PASS
FX,amplicon,A5,mut_A5,A,AMBIGUOUS
FX,amplicon,A6,mut_A6,A,MIXED
FX,amplicon,A7,mut_A7,A,FRAMESHIFT
FX,amplicon,A8,mut_A8,A,MANY
FX,amplicon,A9,mut_A9,A,LOWDEPTH
FX,amplicon,A10,mut_A10,A,NO_CALL
FX,amplicon,A11,mut_A11,A,WRONG_AA
FX,amplicon,H12,WT,A,PASS
FX,amplicon,A1,mut_A1,B,PASS
FX,amplicon,A2,mut_A2,B,PASS
FX,amplicon,A3,mut_A3,B,PASS
FX,amplicon,A4,mut_A4,B,PASS
FX,amplicon,A5,mut_A5,B,AMBIGUOUS
FX,amplicon,A6,mut_A6,B,WRONG_AA_STILL_WT
FX,amplicon,A7,mut_A7,B,BOGUS
FX,amplicon,A8,mut_A8,B,NO_CALL
FX,amplicon,A9,mut_A9,B,LOWDEPTH
FX,amplicon,A10,mut_A10,B,MIXED
FX,amplicon,A11,mut_A11,B,PASS
FX,amplicon,H12,WT,B,PASS
